id,set,source,severity,claim,where,probe,status
R54,R,PR001 IV,P3,link and join discovery as suggestions,new,-,unverified
R55,R,PR001 IV,P3,schema-matching assistant for new silos,new,-,unverified
R56,R,PR001 IV,P2,the FUSION matching pipeline as a cascade,fusion,-,unverified
R57,R,PR001 IV,P1*,conformal FDR-controlled thresholds or none,fusion,P27,unverified
R58,R,PR001 IV,P1*,clustering without blind transitive closure,fusion,P27,unverified
R59,R,PR001 IV,P1*,an evaluation harness for every statistical method,new,-,unverified
R60,R,PR001 IV,P3,truth discovery and copy detection as evidence only,fusion,-,unverified
R61,R,PR001 IV,P1*,cross-compartment matching runs system-high,fusion,-,unverified
R62,R,PR001 IV,P2,reproducible statistical runs,fusion,-,unverified
R63,R,PR001 IV,P2,"the agent reads evaluation results, code enforces them",agent,-,"needs PA001-X2 first"
PATCH-01,PATCH,PIPELINE_TESTING,-,"tests/pipeline 161 tests + core/mirror/validation + validate_pipeline.py + CI step",new,-,"offered; not applied"
PATCH-02,PATCH,PIPELINE_MODEL,-,core/mirror/pipeline_model derived model and check registry,new,-,"offered; not applied"
PATCH-03,PATCH,llm_bench,-,scripts/llm_bench.py model benchmark for the VM,new,-,"offered; not applied"
D1,DEC,HANDOFF,-,model switch phi4-mini -> Qwen3-4B-Instruct-2507 after the bench,-,-,owner
D2,DEC,HANDOFF,-,stay on Ollama or add a llama-server adapter,-,-,owner
D3,DEC,HANDOFF,-,may data leave the VM for escalation to a hosted model,-,-,owner
D4,DEC,HANDOFF,-,LGPL licences (pycountry python-stdnum) in a proprietary product,-,-,owner
D5,DEC,HANDOFF,-,"governance policy: erasure, retention, plaintext credentials, classifications, inference review",-,-,owner
D6,DEC,HANDOFF,-,fine-tuning a small model on Elysium's traces,-,-,owner
Q1,DEC,PR001,-,which regulatory regimes apply to target customers,-,-,owner
Q2,DEC,PR001,-,crypto-shredding or PII-split tables for erasure,-,-,owner
Q3,DEC,PR001,-,is lake-level access by other tools a goal,-,-,owner
Q4,DEC,PR001,-,which source databases are expected first,-,-,owner
Q5,DEC,PR001,-,freshness targets per object type,-,-,owner
Q6,DEC,PR001,-,is gold_history or the silver changelog the history of record,-,-,owner
DEP-1,DEP,DEPENDENCY_REVIEW,-,"ADOPT runtime: rapidfuzz, dateparser, babel",requirements.txt,-,unverified
DEP-2,DEP,DEPENDENCY_REVIEW,-,"ADOPT dev: hypothesis, mutmut",requirements-dev.txt,-,unverified
DEP-3,DEP,DEPENDENCY_REVIEW,-,"ADOPT extras: scikit-learn [ml], splink [fusion]",extras,-,unverified
DEP-4,DEP,DEPENDENCY_REVIEW,-,"CONDITIONAL: phonenumbers, holidays, email-validator, ftfy",-,-,unverified
DEP-5,DEP,DEPENDENCY_REVIEW,-,"AVOID: pycountry (LGPL); python-stdnum pending counsel",-,-,"owner decision D4"
DEP-6,DEP,DEPENDENCY_REVIEW,-,"REJECT: setfit, recognizers-text; NOT NEEDED: jsonschema, mapie, outlines",-,-,unverified
GAP-1,GAP,this review,-,"ui/ audits 01-08 cited by 09 and 10 were NEVER PRODUCED (AAA_14 manifest; the roadmap already recorded it at line 858)",-,-,"CLOSED - not available, nothing depends on them"
NEW-1,NEW,found while fixing X1,OPEN,"a FORWARD single-valued link still returns its target id when that object is hidden; the id is a foreign-key column of the caller's own row",mediator.py get_field,"reproduced 24 Sep","OWNER DECISION - behaviour pinned by a test"
NEW-2,NEW,found while fixing 004-7,OPEN,"should an APPROVER have to reach the objects they approve? today they need not; the same fixture calls bob cross-org a MAC boundary test when proposing yet has him approving writes to that object",write_mediator confirm_and_execute,"reproduced 24 Sep","OWNER DECISION - pinned by a test"
NEW-3,NEW,found while fixing 004-7,OPEN,"the re-check uses the proposers record as captured at propose time so it catches the OBJECT moving not the PROPOSERs clearance being revoked; that needs a user-directory lookup this layer lacks",write_mediator,"stated in the code","ROADMAP"
